"MovieGenreId";"MovieId";"GenreId"
1326;478;12
1327;478;15
1328;479;5
1329;480;3
1330;480;22
1331;480;8
1332;480;19
1333;481;6
1334;481;8
1335;481;15
1336;481;19
1337;482;5
1338;482;8
1339;483;8
1340;483;16
1341;483;20
1342;484;5
1343;484;8
1344;484;16
1345;485;5
1346;485;16
1347;486;5
1348;486;16
1349;487;15
1350;487;19
1351;488;12
1352;489;5
1353;490;8
1354;490;16
1355;491;3
1356;491;9
1357;492;5
1358;492;8
1359;492;16
1360;493;5
1361;493;12
1362;494;8
1363;494;15
1364;494;19
1365;495;8
1366;495;17
1367;495;19
1368;496;5
1369;496;8
1370;496;13
1371;497;6
1372;497;8
1373;497;19
1374;498;3
1375;498;5
1376;498;9
1377;498;10
1378;499;8
1379;500;3
1380;500;8
1381;500;16
1382;501;5
1383;501;8
1384;501;13
1385;502;1
1386;502;3
1387;502;10
1388;502;16
1389;503;1
1390;503;8
1391;503;15
1392;503;19
1393;504;8
1394;504;16
1395;505;3
1396;505;17
1397;505;19
1398;506;3
1399;506;5
1400;506;17
1401;506;19
1402;507;5
1403;508;8
1404;508;17
1405;508;19
1406;509;1
1407;509;19
1408;509;21
1409;510;1
1410;510;6
1411;510;8
1412;510;19
1413;511;1
1414;511;6
1415;511;19
1416;512;8
1417;512;17
1418;512;19
1419;513;1
1420;513;19
1421;513;20
1422;514;3
1423;514;9
1424;514;10
1425;515;5
1426;515;12
1427;515;17
1428;516;1
1429;516;3
1430;516;17
1431;516;19
1432;517;1
1433;517;3
1434;517;19
1435;518;6
1436;518;8
1437;518;16
1438;519;22
1439;519;8
1440;520;5
1441;521;1
1442;521;3
1443;521;8
1444;521;16
1445;521;19
1446;522;1
1447;522;3
1448;522;17
1449;522;19
1450;523;5
1451;524;22
1452;524;8
1453;525;12
1454;526;5
1455;526;16
1456;527;6
1457;527;8
1458;527;19
1459;528;12
1460;529;8
1461;529;15
1462;529;16
1463;529;19
1464;530;12
1465;530;19
1466;531;8
1467;531;17
1468;532;6
1469;532;8
1470;532;19
1471;533;5
1472;533;8
1473;533;9
1474;534;5
1475;534;8
1476;535;17
1477;535;19
1478;536;5
1479;537;1
1480;537;19
1481;538;8
1482;539;1
1483;539;15
1484;539;19
1485;540;1
1486;540;3
1487;540;17
1488;541;1
1489;541;12
1490;542;6
1491;542;8
1492;542;15
1493;542;19
1494;543;8
1495;543;10
1496;543;16
1497;543;19
1498;544;8
1499;545;3
1500;545;21
1501;545;16
1502;545;20
1503;546;6
1504;546;8
1505;547;1
1506;547;12
1507;547;17
1508;548;5
1509;548;12
1510;548;16
1511;549;21
1512;550;1
1513;550;3
1514;550;17
1515;550;19
1516;551;3
1517;551;8
1518;551;9
1519;551;15
1520;552;1
1521;552;12
1522;552;17
1523;552;19
1524;553;3
1525;553;8
1526;553;10
1527;554;22
1528;554;8
1529;554;13
1530;554;16
1531;555;5
1532;556;3
1533;556;5
1534;556;8
1535;556;16
1536;556;17
1537;557;6
1538;557;8
1539;557;19
1540;558;8
1541;558;16
1542;559;1
1543;559;12
1544;559;17
1545;559;19
1546;560;6
1547;560;8
1548;560;15
1549;560;19
1550;561;3
1551;561;5
1552;561;8
1553;561;9
1554;561;16
1555;562;8
1556;562;9
1557;562;10
1558;563;3
1559;563;8
1560;564;5
1561;564;8
1562;564;9
1563;564;16
1564;565;3
1565;565;8
1566;565;23
1567;566;22
1568;566;8
